cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
32046046000138,32046046,MATRIZ,ATIVA,2023-12-01,20181119,3101200,SP,7097,2135,"1000,00",MICRO EMPRESA,Fabricação de móveis com predominância de madeira,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32046684000159,32046684,MATRIZ,ATIVA,2023-11-28,20181119,4721102,SP,6313,2135,"30000,00",MICRO EMPRESA,Padaria e confeitaria com predominância de revenda,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32052616000100,32052616,MATRIZ,ATIVA,2023-09-21,20181120,4721102,SP,6831,2135,"5000,00",MICRO EMPRESA,Padaria e confeitaria com predominância de revenda,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32056151000158,32056151,MATRIZ,ATIVA,2023-03-11,20181120,5620104,SP,7099,2135,"15000,00",MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
32057717000166,32057717,MATRIZ,ATIVA,2023-01-26,20181120,5320202,SP,7071,2135,"1000,00",MICRO EMPRESA,Serviços de entrega rápida,OUTRAS ATIVIDADES DE SERVIÇOS
32058038000101,32058038,MATRIZ,ATIVA,2024-01-09,20181120,7319002,SP,6589,2135,"1800,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
32058571000173,32058571,MATRIZ,ATIVA,2023-07-24,20181120,5611204,SP,7097,2135,"3500,00",MICRO EMPRESA,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES DE SERVIÇOS
32059922000160,32059922,MATRIZ,ATIVA,2023-10-02,20181121,8130300,SP,7029,2135,"500,00",MICRO EMPRESA,Atividades paisagísticas,OUTRAS ATIVIDADES DE SERVIÇOS
32061367000101,32061367,MATRIZ,ATIVA,2023-12-11,20181121,5320201,SP,6219,2135,"2500,00",MICRO EMPRESA,Serviços de malote não realizados pelo Correio Nacional,OUTRAS ATIVIDADES DE SERVIÇOS
32062480000101,32062480,MATRIZ,ATIVA,2023-11-29,20181121,4729601,SP,6405,2135,"5000,00",MICRO EMPRESA,Tabacaria,OUTRAS ATIVIDADES DE SERVIÇOS
32062897000174,32062897,MATRIZ,ATIVA,2023-03-08,20181121,4321500,SP,7075,2135,"5000,00",MICRO EMPRESA,Instalação e manutenção elétrica,OUTRAS ATIVIDADES DE SERVIÇOS
32063209000190,32063209,MATRIZ,ATIVA,2023-03-14,20181121,7319002,SP,7107,2135,"1000,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
32063882000120,32063882,MATRIZ,ATIVA,2023-10-06,20181121,1099604,SP,6477,2135,"3200,00",MICRO EMPRESA,Fabricação de gelo comum,OUTRAS ATIVIDADES DE SERVIÇOS
